time,flux,flux_err
2420.0006367159403,1896.6572530044139,nan
2420.0075813185713,1906.073582086625,nan
2420.014525921202,1908.6892470302432,nan
2420.021470523833,1920.072367182797,nan
2420.0284151259984,1927.2455729367978,nan
2420.0353597281637,1934.716682553496,nan
2420.042304330329,1952.5583411920443,nan
2420.0492489320286,1960.9310360325974,nan
2420.056193533728,1971.1346208330663,nan
2420.0631381349613,1983.9328382624444,nan
2420.070082736195,1994.7927391398553,nan
2420.077027337429,2004.663689793851,nan
2420.083971938664,2019.6448457739648,nan
2420.0909165394323,2023.5779964825533,nan
2420.0978611401997,2033.6309036232872,nan
2420.1048057405033,2042.0563410376487,nan
2420.111750340806,2052.3659502758555,nan
2420.1186949411094,2054.300168222905,nan
2420.125639541411,2051.378078632682,nan
2420.132584141248,2051.2892036207836,nan
2420.139528741084,2045.8323426050533,nan
2420.146473340922,2042.9759385515365,nan
2420.1534179407586,2037.6780602634005,nan
2420.1603625401303,2034.1094696764328,nan
2420.1673071395016,2031.940768384885,nan
2420.174251738408,2022.7776899433736,nan
2420.1811963377795,2015.015795093572,nan
2420.1881409366842,2006.4110976430761,nan
2420.19508553559,1998.9664132422943,nan
2420.20203013403,1992.3513727632605,nan
2420.2089747329364,1982.443534665006,nan
2420.2159193313755,1980.2175607626352,nan
2420.222863929349,1969.0409887263254,nan
2420.22980852779,1966.442581066571,nan
2420.236753125764,1955.235377351403,nan
2420.2436977237394,1948.4753756879138,nan
2420.250642321713,1942.2809815030582,nan
2420.257586919686,1934.122169124391,nan
2420.264531517196,1932.8429729579932,nan
2420.2714761147054,1927.3960348804844,nan
2420.278420712214,1921.0360786285612,nan
2420.2853653092566,1919.59142825312,nan
2420.292309906765,1917.4246684060067,nan
2420.299254503808,1914.885798375582,nan
2420.306199100851,1911.0254518332936,nan
2420.313143697894,1911.3215221095802,nan
2420.32008829447,1915.580727625169,nan
2420.327032891514,1913.6393910485253,nan
2420.3339774880924,1918.774943010318,nan
2420.340922084204,1918.3140656731327,nan
2420.3478666807814,1911.6212595586883,nan
2420.354811277358,1919.6228149381473,nan
2420.3617558734704,1928.5530279055224,nan
2420.368700469581,1927.6891929901194,nan
2420.375645065693,1930.0181713055517,nan
2420.382589661339,1932.4115408614005,nan
2420.3895342574506,1940.6479031594301,nan
2420.396478853097,1941.639118401352,nan
2420.4034234487435,1950.9393922495797,nan
2420.4103680443895,1958.348052070296,nan
2420.4173126400347,1962.274084149291,nan
2420.424257235216,1968.714718203277,nan
2420.431201830397,1983.6985706339947,nan
2420.4381464260423,2000.055563570143,nan
2420.4450910212217,2005.6320391346537,nan
2420.4520356159373,1992.0877677522424,nan
2420.458980211117,1987.0811061293066,nan
2420.4659248058324,1984.107891835637,nan
2420.4728694010128,1983.5318221286614,nan
2420.479813995727,1984.8426206961346,nan
2420.486758589976,1987.916897958431,nan
2420.493703184691,1992.2231295725483,nan
2420.500647779406,1995.2493021560747,nan
2420.507592373655,1998.7645030210888,nan
2420.5145369679035,1997.2267711708078,nan
2420.521481562152,2000.0647315021956,nan
2420.528426156401,2000.2343921741806,nan
2420.53537075065,2001.9387646717707,nan
2420.542315344899,1997.6834420450514,nan
2420.549259938683,1994.89088994183,nan
2420.556204532466,1996.1610260341995,nan
2420.56314912625,1993.7478106019073,nan
2420.5700937200336,1991.6903109332561,nan
2420.577038313816,1990.5693424882838,nan
2420.5839829076003,1988.5891770229468,nan
2420.590927500918,1993.3328807830092,nan
2420.5978720942358,1992.8570111804672,nan
2420.604816688018,1991.1564137137225,nan
2420.611761281336,1995.7470669375186,nan
2420.6187058746536,1989.7126262024747,nan
2420.6256504675066,1993.5013550167287,nan
2420.6325950608243,1987.5764980342192,nan
2420.6395396536764,1995.1250497122558,nan
2420.646484246993,1993.5762084854875,nan
2420.653428839845,1993.4315708751049,nan
2420.660373432698,1990.7672619625957,nan
2420.6673180255502,1991.3879848915687,nan
2420.6742626179366,1987.6663437683349,nan
2420.6812072107887,1982.7767081015998,nan
2420.6881518036407,1983.291406592835,nan
2420.695096396026,1983.8988629848377,nan
2420.702040988413,1983.9526841388877,nan
2420.708985580799,1991.1839175098803,nan
2420.7159301731863,1990.0002835528778,nan
2420.7228747655727,1994.8304894483072,nan
2420.729819357959,1999.3628993390632,nan
2420.736763949879,2000.2681517357391,nan
2420.743708542266,2003.8830134150662,nan
2420.750653134187,2011.3794696674393,nan
2420.7575977261076,2014.8432222549347,nan
2420.7645423180284,2015.3314955302537,nan
2420.771486909949,2014.6283690708317,nan
2420.77843150187,2014.8961805447916,nan
2420.785376093325,2022.4972590805883,nan
2420.7923206852456,2023.799644722178,nan
2420.7992652766998,2025.5464054232582,nan
2420.8062098686214,2028.6542265310648,nan
2420.8131544600774,2029.1243796583267,nan
2420.8200990515325,2032.9083627195184,nan
2420.827043642987,2031.042850333851,nan
2420.8339882344417,2031.2285818514342,nan
2420.840932825431,2029.801296617881,nan
2420.847877416886,2028.7738410798452,nan
2420.854822008341,2027.8079724735978,nan
2420.861766599331,2027.4913013146988,nan
2420.868711190319,2024.6251900390084,nan
2420.8756557813103,2018.3409501200372,nan
2420.8826003722997,2014.8438694030797,nan
2420.8895449632882,2009.6405826021219,nan
2420.8964895542777,2002.0012144677526,nan
2420.903434145267,1995.7246324684957,nan
2420.9103787357917,1984.3665353775443,nan
2420.91732332678,1981.3818881333152,nan
2420.9242679173035,1971.9878856621028,nan
2420.9312125078277,1968.1850274466851,nan
2420.9381570983523,1962.6020804007255,nan
2420.945101688876,1952.2376792862517,nan
2420.9520462793994,1954.0021287032923,nan
2420.9589908699227,1951.4029660373687,nan
2420.9659354604473,1949.9144174460994,nan
2420.9728800505054,1953.4438555703011,nan
2420.979824641029,1956.147316945576,nan
2420.9867692310872,1955.1114484816567,nan
2420.99371382161,1958.47165736597,nan
2421.000658411668,1960.895119310556,nan
2421.007603001727,1966.8947219038002,nan
2421.0145475917852,1972.8784693674945,nan
2421.0214921818433,1973.4703942040198,nan
2421.0284367719014,1978.4589356788988,nan
2421.035381361494,1986.477316910125,nan
2421.042325951553,1994.169535476327,nan
2421.0492705411443,1999.2425297841137,nan
2421.0562151312024,2004.1918109382027,nan
2421.063159720795,2011.4911027224327,nan
2421.070104310388,2020.2445363882289,nan
2421.0770488999797,2018.9186376973748,nan
2421.083993489571,2028.7835483020185,nan
2421.0909380791645,2032.7914446213417,nan
2421.097882668757,2036.1804515981025,nan
2421.1048272578846,2037.4050716042814,nan
2421.111771847476,2040.579980403108,nan
2421.118716436603,2044.8857805851287,nan
2421.125661026196,2047.088780728356,nan
2421.1326056153225,2046.655838619425,nan
2421.139550204449,2050.072565108392,nan
2421.1464947935756,2049.3013802357323,nan
2421.1534393827023,2042.9743206811743,nan
2421.160383971829,2040.751690377552,nan
2421.167328560956,2033.1124301012069,nan
2421.1742731500826,2030.3858871087643,nan
2421.1812177387437,2025.0471306294762,nan
2421.1881623278714,2016.2826954452169,nan
2421.1951069165325,2011.0389618852034,nan
2421.20205150566,2002.4178700150371,nan
2421.2089960943204,1996.9208858143236,nan
2421.215940682981,1990.5952284140794,nan
2421.2228852716426,1983.3340105123737,nan
2421.2298298603037,1978.527533382257,nan
2421.2367744489648,1969.6900783156493,nan
2421.2437190376245,1964.8971912965753,nan
2421.250663626286,1959.121609819487,nan
2421.257608214482,1951.2601620133964,nan
2421.2645528031435,1950.7024281705262,nan
2421.2714973913385,1949.045836777634,nan
2421.278441979999,1941.3470388719588,nan
2421.2853865681955,1938.7997559156506,nan
2421.292331156391,1938.2662901282135,nan
2421.2992757445872,1933.243665517704,nan
2421.306220332782,1928.047820920412,nan
2421.313164920977,1928.0573124265372,nan
2421.3201095091727,1929.8898202568153,nan
2421.327054097368,1928.5424578191557,nan
2421.333998685097,1932.615823959137,nan
2421.3409432732933,1931.695902871177,nan
2421.347887861022,1932.3788598800834,nan
2421.3548324492185,1934.6340633069983,nan
2421.3617770369483,1936.337357224347,nan
2421.368721624677,1940.003775039217,nan
2421.375666212408,1948.8988262907199,nan
2421.3826108001376,1955.2666561784058,nan
2421.3895553878683,1956.8275775038787,nan
2421.396499975597,1964.887484074402,nan
2421.4034445633265,1971.085006141958,nan
2421.4103891510567,1980.0510279733505,nan
2421.417333738321,1985.3404933356028,nan
2421.4242783260515,1991.992205542847,nan
2421.4312229133157,2002.459395354334,nan
2421.438167501044,2008.3861937812783,nan
2421.4451120883086,2012.7899290492253,nan
2421.4520566755727,2011.1024902614267,nan
2421.459001262837,2021.0985562234343,nan
2421.465945850101,2022.128708212074,nan
2421.472890437365,2028.3044429587521,nan
2421.479835024629,2026.964630582783,nan
2421.4867796118942,2032.3290572718183,nan
2421.4937241991584,2032.5438025978974,nan
2421.500668785956,2036.0334411111887,nan
2421.50761337322,2036.3387871775521,nan
2421.5145579600194,2041.4941850157884,nan
2421.521502547284,2045.8922038084556,nan
2421.5284471340815,2040.9878994504365,nan
2421.5353917208804,2045.6365802912244,nan
2421.542336308144,2046.2043449303405,nan
2421.549280894942,2046.2863170286932,nan
2421.556225481741,2047.6370230651012,nan
2421.563170068074,2049.0488846012013,nan
2421.5701146548718,2052.2182926407963,nan
2421.57705924167,2045.6388453097316,nan
2421.5840038284696,2046.4017251145317,nan
2421.5909484148024,2040.8373296487257,nan
2421.5978930016,2043.5050900180074,nan
2421.6048375879336,2039.6371934140286,nan
2421.611782174732,2040.687622711208,nan
2421.618726761065,2036.0413147469515,nan
2421.6256713473977,2035.1753226710655,nan
2421.6326159337314,2035.0772797271147,nan
2421.6395605200632,2033.4110889700733,nan
2421.646505106395,2029.5710197363246,nan
2421.653449692729,2025.414387201701,nan
2421.6603942790607,2024.3049595653124,nan
2421.6673388653944,2027.4379115927454,nan
2421.6742834512615,2020.9622236809112,nan
2421.6812280375952,2016.0930810387642,nan
2421.6881726234615,2017.244896878643,nan
2421.6951172097943,2016.9927248181846,nan
2421.7020617956623,2021.1117149023805,nan
2421.7090063815294,2023.0737602196605,nan
2421.7159509673957,2016.5473790364765,nan
2421.7228955537294,2023.5604156246172,nan
2421.729840139596,2022.6050092467124,nan
2421.7367847249975,2025.9170055942316,nan
2421.743729310865,2026.573213813149,nan
2421.750673896732,2027.7764779305467,nan
2421.7576184825994,2027.1405470201687,nan
2421.764563068,2027.3468794203643,nan
2421.771507653867,2033.7096399809154,nan
2421.778452239734,2035.4025795279458,nan
2421.7853968251366,2034.813351142024,nan
2421.792341410537,2038.6217101166733,nan
2421.799285996405,2041.745062779957,nan
2421.8062305818066,2041.3357415783146,nan
2421.813175167207,2045.9599386476207,nan
2421.8201197526087,2049.30547884065,nan
2421.82706433801,2046.750537964627,nan
2421.834008923413,2049.517527716125,nan
2421.8409535083492,2049.976355750852,nan
2421.84789809375,2051.022362869041,nan
2421.8548426791513,2051.715889964314,nan
2421.861787264087,2049.767111184004,nan
2421.8687318494885,2044.6271370432214,nan
2421.8756764344243,2046.1343450726683,nan
2421.882621019825,2040.0502896465161,nan
2421.8895656047607,2042.0074813527096,nan
2421.8965101896974,2033.656897407107,nan
2421.903454774634,2025.2874383072783,nan
2421.9103993595686,2019.9254923527985,nan
2421.917343944504,2013.9565214384124,nan
2421.9242885294407,2007.3841927369413,nan
2421.9312331143774,1998.2061220300736,nan
2421.938177699313,1995.390704025733,nan
2421.945122284248,1988.4637381408625,nan
2421.9520668687182,1980.2332001761367,nan
2421.959011453654,1977.677612151969,nan
2421.965956038124,1973.166989582091,nan
2421.972900623061,1966.2270807343227,nan
2421.97984520753,1968.3495109335113,nan
2421.9867897920003,1964.493047280092,nan
2421.9937343764714,1961.6609112820083,nan
2422.0006789609415,1964.9118599878595,nan
2422.0076235454108,1961.3824218636576,nan
2422.014568129881,1965.568607496898,nan
2422.021512714351,1963.397749044867,nan
2422.028457298821,1964.460258440751,nan
2422.0354018832923,1966.093336784379,nan
2422.042346467296,1969.88120273444,nan
2422.049291051766,1974.2822415517835,nan
2422.0562356357714,1979.1125553052368,nan
2422.0631802202424,1984.9882290287346,nan
2422.0701248042456,1986.5243430086534,nan
2422.0770693882505,1988.7793307195202,nan
2422.0840139727206,1989.199114149505,nan
2422.090958556725,1991.9284614505755,nan
2422.0979031407296,1997.4308385524962,nan
2422.104847724733,1997.851269130626,nan
2422.111792308739,1999.2460890989107,nan
2422.118736892742,2005.5170624809116,nan
2422.125681476282,2005.5996817274092,nan
2422.1326260602864,2009.6782250525496,nan
2422.13957064429,2012.9612075915727,nan
2422.1465152278297,2015.7781356082514,nan
2422.153459811834,2017.7630468266511,nan
2422.160404395374,2017.3110138474458,nan
2422.1673489793784,2012.4154459893828,nan
2422.1742935629172,2017.172200570367,nan
2422.181238146455,2010.3801650737062,nan
2422.188182729995,2010.0799961925015,nan
2422.1951273135337,2007.4133144034613,nan
2422.202071897072,2001.390953767122,nan
2422.2090164806114,1996.3161258729244,nan
2422.21596106415,1997.042765381611,nan
2422.222905647689,1988.6028749920135,nan
2422.229850230762,1983.9505269784047,nan
2422.2367948143005,1975.5276781566229,nan
2422.243739397374,1971.0685038642634,nan
2422.2506839809125,1970.0291839435713,nan
2422.2576285639852,1964.320582299479,nan
2422.264573147523,1960.4821309360925,nan
2422.271517730597,1957.1300114035903,nan
2422.2784623136713,1956.7835714300263,nan
2422.2854068967454,1954.1453641593612,nan
2422.2923514798176,1950.3957878078727,nan
2422.29929606289,1950.5219816961262,nan
2422.3062406459635,1948.3391510034148,nan
2422.313185229037,1949.0704284071396,nan
2422.320129812111,1947.330786335653,nan
2422.3270743947187,1946.115226403503,nan
2422.334018977791,1947.2263797682776,nan
2422.340963560864,1946.586997401127,nan
2422.3479081434725,1949.6524303054434,nan
2422.354852726079,1953.849078167026,nan
2422.3617973091523,1952.3864155015522,nan
2422.36874189176,1955.5456848868773,nan
2422.375686474368,1954.1687693506012,nan
2422.3826310569757,1954.654777607413,nan
2422.3895756395823,1957.8371286099061,nan
2422.39652022219,1958.9291911044068,nan
2422.403464804798,1958.4727359462115,nan
2422.4104093874057,1966.6721029419582,nan
2422.417353970013,1967.5209455920046,nan
2422.424298552154,1970.7387818844425,nan
2422.4312431347616,1971.1500445305194,nan
2422.438187717369,1973.1791775388197,nan
2422.445132299512,1976.7661039898926,nan
2422.4520768816537,1977.371187505364,nan
2422.4590214642612,1979.632215265583,nan
2422.465966046402,1984.0403727125201,nan
2422.472910628545,1986.600382915678,nan
2422.4798552106877,1990.3287112364092,nan
2422.4867997928295,1993.7071481268035,nan
