time,flux,flux_err
1683.3690185546875,1546.856531265932,nan
1683.3898315429688,1548.4937082144777,nan
1683.4107055664062,1544.0581009003947,nan
1683.4315185546875,1543.5834177361185,nan
1683.4523315429688,1545.6923117532763,nan
1683.4732055664062,1545.3887992733232,nan
1683.4940185546875,1541.400425256371,nan
1683.5148315429688,1541.9614487689778,nan
1683.5357055664062,1545.2690229375066,nan
1683.5565185546875,1542.952825797936,nan
1683.5773315429688,1544.7371750204318,nan
1683.5982055664062,1543.3170623454846,nan
1683.6190185546875,1545.3279134186917,nan
1683.6398315429688,1544.7890547300472,nan
1683.6607055664062,1545.953274242703,nan
1683.6815185546875,1545.6346077103572,nan
1683.7023315429688,1541.9845303861455,nan
1683.7232055664062,1544.549448129402,nan
1683.7440185546875,1543.4580327830463,nan
1683.7648315429688,1543.2160533058698,nan
1683.7857055664062,1544.7238006254374,nan
1683.8065185546875,1542.3071876653848,nan
1683.8273315429688,1542.4108392265912,nan
1683.8482055664062,1543.928024123272,nan
1683.8690185546875,1541.9156630377267,nan
1683.8898315429688,1545.4597698532127,nan
1683.9107055664062,1543.8637946698918,nan
1683.9315795898438,1544.250411757451,nan
1683.952392578125,1542.6427339785098,nan
1683.9732055664062,1545.60322102533,nan
1683.9940795898438,1543.9428546015924,nan
1684.014892578125,1545.0774670866194,nan
1684.0357055664062,1540.953785178373,nan
1684.0565795898438,1543.1469163123907,nan
1684.077392578125,1542.156725721698,nan
1684.0982055664062,1548.421874770395,nan
1684.1190795898438,1547.6043109473517,nan
1684.139892578125,1562.8064680189452,nan
1684.1607055664062,1577.1594049374078,nan
1684.1815795898438,1597.9416508173208,nan
1684.202392578125,1620.979962988342,nan
1684.2232055664062,1650.3468447262596,nan
1684.2440795898438,1681.56586445485,nan
1684.264892578125,1721.5516922442312,nan
1684.2857055664062,1759.5684639447625,nan
1684.3065795898438,1800.6574636051314,nan
1684.327392578125,1836.3982692090992,nan
1684.3482055664062,1877.8034546672586,nan
1684.3690795898438,1912.0487009083874,nan
1684.389892578125,1953.6090940632962,nan
1684.4107055664062,1991.5599105820609,nan
1684.4315795898438,2032.8372842816048,nan
1684.452392578125,2074.6269835958524,nan
1684.4732055664062,2115.4989189826233,nan
1684.4940795898438,2156.1152308521628,nan
1684.514892578125,2204.077968462485,nan
1684.5357055664062,2254.758836139366,nan
1684.5565795898438,2304.0477960146145,nan
1684.577392578125,2352.3088689197307,nan
1684.5982055664062,2405.37685038706,nan
1684.6190795898438,2445.5220384071204,nan
1684.639892578125,2486.208350134332,nan
1684.6607055664062,2506.5567371121087,nan
1684.6815795898438,2525.799795058415,nan
1684.702392578125,2538.613867617343,nan
1684.7232055664062,2550.3367405459635,nan
1684.7440795898438,2575.077321983104,nan
1684.764892578125,2590.8718353233194,nan
1684.7857055664062,2607.756577571625,nan
1684.8065795898438,2628.4744861401336,nan
1684.827392578125,2643.411636046395,nan
1684.8482055664062,2668.1675333229646,nan
1684.8690795898438,2689.675825492431,nan
1684.889892578125,2695.649757875928,nan
1684.9107055664062,2699.18049029642,nan
1684.9315795898438,2685.034263281237,nan
1684.952392578125,2670.6637994338507,nan
1684.9732055664062,2649.3116856833503,nan
1684.9940795898438,2631.399487897009,nan
1685.014892578125,2626.6130723593838,nan
1685.0357055664062,2631.14418795385,nan
1685.0565795898438,2650.0744576301267,nan
1685.077392578125,2673.9135617014363,nan
1685.0982055664062,2707.752506765599,nan
1685.1190795898438,2751.0167331279767,nan
1685.139892578125,2794.4520223166537,nan
1685.1607055664062,2839.2489112021776,nan
1685.1815795898438,2885.5040405741856,nan
1685.202392578125,2907.982947102962,nan
1685.2232055664062,2922.403241357505,nan
1685.2440795898438,2914.1539360965776,nan
1685.264892578125,2905.814892959559,nan
1685.2857055664062,2902.8387664992374,nan
1685.3065795898438,2888.8673773411992,nan
1685.327392578125,2875.958605437069,nan
1685.3482055664062,2866.878577674152,nan
1685.3690795898438,2859.8234764565937,nan
1685.389892578125,2862.6701732879374,nan
1685.4107055664062,2871.6922812918865,nan
1685.4315795898438,2888.0832495056416,nan
1685.452392578125,2917.1234832174264,nan
1685.4732055664062,2951.556725994645,nan
1685.4940795898438,2989.5772187970097,nan
1685.514892578125,3031.891108108618,nan
1685.5357055664062,3081.8998045790077,nan
1685.5565795898438,3140.184339384265,nan
1685.577392578125,3204.734454670316,nan
1685.5982055664062,3258.6764097073187,nan
1685.6190795898438,3302.37961822798,nan
1685.639892578125,3337.1475444541306,nan
1685.6607055664062,3359.253801509475,nan
1685.6815795898438,3382.2782539243935,nan
1685.702392578125,3389.756050738589,nan
1685.7232055664062,3396.226345749216,nan
1685.7440795898438,3407.2745667367894,nan
1685.764892578125,3422.888633602605,nan
1685.7857055664062,3433.0833740450935,nan
1685.8065795898438,3455.164823754884,nan
1685.827392578125,3472.814710826497,nan
1685.8482055664062,3485.6204783175654,nan
1685.8690795898438,3487.856267300134,nan
1685.889892578125,3478.456979785738,nan
1685.9107666015625,3456.778811228238,nan
1685.9315795898438,3427.1710285933855,nan
1685.9524536132812,3379.963620726173,nan
1685.9732666015625,3336.68990285767,nan
1685.9940795898438,3289.757209377963,nan
1686.0149536132812,3255.7487114998394,nan
1686.0357666015625,3230.5583621020014,nan
1686.0565795898438,3232.1668488161235,nan
1686.0774536132812,3258.5562558684173,nan
1686.0982666015625,3292.296187266412,nan
1686.1190795898438,3330.658482147302,nan
1686.1399536132812,3372.5470872696937,nan
1686.1607666015625,3411.6338644987873,nan
1686.1815795898438,3437.6198825407673,nan
1686.2024536132812,3443.3221205614345,nan
1686.2232666015625,3434.406576285344,nan
1686.2440795898438,3407.0765394044533,nan
1686.2649536132812,3375.7637371238657,nan
1686.2857666015625,3346.2477416675633,nan
1686.3065795898438,3319.18206480386,nan
1686.3274536132812,3281.5733739376938,nan
1686.3482666015625,3252.5393959913094,nan
1686.3690795898438,3228.51855114931,nan
1686.3899536132812,3218.535859582297,nan
1686.4107666015625,3221.309428673268,nan
1686.4315795898438,3234.1063518063565,nan
1686.4524536132812,3258.3707400668827,nan
1686.4732666015625,3296.0794153214347,nan
1686.4940795898438,3349.5474422003294,nan
1686.5149536132812,3408.0266607391745,nan
1686.5357666015625,3471.6270861226008,nan
1686.5565795898438,3533.258347559153,nan
1686.5774536132812,3595.269808530828,nan
1686.5982666015625,3656.4482819820064,nan
1686.6190795898438,3711.6707274816963,nan
1686.6399536132812,3765.882327579069,nan
1686.6607666015625,3807.573768233318,nan
1686.6815795898438,3839.8379861449166,nan
1686.7024536132812,3863.3682926930896,nan
1686.7232666015625,3881.038672789291,nan
1686.7440795898438,3894.170387229335,nan
1686.7649536132812,3912.7711506418386,nan
1686.7857666015625,3937.184814407786,nan
1686.8065795898438,3957.7736169213895,nan
1686.8274536132812,3971.3097989519897,nan
1686.8482666015625,3992.667844893818,nan
1686.8690795898438,3988.8820282462157,nan
1686.8899536132812,3980.622907905091,nan
1686.9107666015625,3949.198904001607,nan
1686.9315795898438,3907.2145209537716,nan
1686.9524536132812,3856.540016900315,nan
1686.9732666015625,3789.459875941819,nan
1686.9940795898438,3734.526921378943,nan
1687.0149536132812,3689.873915097633,nan
1687.0357666015625,3662.398162026118,nan
1687.0565795898438,3642.177802523005,nan
1687.0774536132812,3642.7690802113852,nan
1687.0982666015625,3657.7453825804128,nan
1687.1190795898438,3686.6862790519567,nan
1687.1399536132812,3717.3123492927925,nan
