# MJD Detrended_Magnitude Magnitude_Error Outlier_Flag
59863.250230 -0.00099 0.01422 1
59867.174750 0.00694 0.01429 1
59870.175570 0.00339 0.01433 1
59872.131710 0.01556 0.01439 1
59874.145690 -0.00995 0.01437 1
59877.159990 0.01984 0.01448 1
59879.133190 0.01942 0.01451 1
59881.209660 0.02420 0.01456 1
59883.122030 0.00273 0.01454 1
59888.123350 0.00504 0.01463 1
59895.140030 0.00022 0.01474 1
59897.172840 0.00745 0.01479 1
59901.141780 -0.01808 0.01479 1
59903.135020 -0.01101 0.01485 1
59907.161360 0.00668 0.01496 1
59909.121140 0.00449 0.01499 1
59913.129560 0.01030 0.01508 1
59922.127150 0.00303 0.01523 1
59924.130350 0.03159 0.01535 1
59935.130150 0.00119 0.01548 1
59951.090400 -0.00686 0.01577 1
59951.094360 0.01960 0.01586 1
59951.098310 0.00805 0.01582 1
59951.102260 -0.00769 0.01577 1
59951.106230 -0.04158 0.01565 1
60029.475120 -0.01918 0.01744 1
60032.448540 -0.00950 0.01756 1
60042.464130 -0.00459 0.01783 1
60044.431940 -0.01542 0.01782 1
60051.450600 -0.01855 0.01797 1
60054.462180 -0.04401 0.01790 1
60056.478280 0.01532 0.01829 1
60058.452520 -0.04504 0.01800 1
60065.425480 0.00173 0.01844 1
60072.461600 -0.00977 0.01855 1
60076.461780 0.02194 0.01885 1
60078.461730 -0.02528 0.01860 1
60081.411460 0.00116 0.01884 1
60083.463610 0.01866 0.01901 1
60085.459150 -0.00080 0.01894 1
60087.406540 0.03434 0.01922 1
60089.450870 -0.00206 0.01903 1
60092.395170 -0.00185 0.01911 1
60098.403300 -0.01270 0.01920 1
60100.427140 0.01542 0.01944 1
60103.404420 -0.00943 0.01935 1
60108.438610 -0.00620 0.01951 1
60110.354120 -0.00684 0.01956 1
60112.391870 0.01844 0.01979 1
60115.360440 0.01591 0.01985 1
60118.374170 0.00224 0.01984 1
60120.408970 -0.00281 0.01986 1
60122.445900 -0.02338 0.01976 1
60124.424720 -0.02124 0.01983 1
60133.383600 0.02906 0.02046 1
60135.439080 0.02319 0.02047 1
60137.418980 -0.01138 0.02026 1
60139.362250 0.02840 0.02062 1
60143.381970 0.02473 0.02071 1
60145.312910 0.00914 0.02064 1
60147.452930 0.01448 0.02074 1
60149.407660 0.00180 0.02069 1
60151.401000 0.00905 0.02081 1
60156.360740 -0.04674 0.02050 1
60160.284490 0.00334 0.02101 1
60162.345180 -0.00746 0.02098 1
60169.337440 0.00715 0.02130 1
60171.272080 -0.00820 0.02122 1
60173.315890 -0.02012 0.02118 1
60182.304160 0.02070 0.02179 1
60184.320240 0.00074 0.02167 1
60186.235940 0.01237 0.02183 1
60191.185660 0.01497 0.02199 1
60193.295630 -0.01373 0.02179 1
60195.285680 0.01677 0.02213 1
60198.269770 -0.00184 0.02204 1
60201.190360 0.00170 0.02216 1
60203.393830 -0.02327 0.02199 1
60205.209580 0.01840 0.02243 1
60207.174000 -0.00666 0.02225 1
60211.154000 -0.01752 0.02226 1
60213.189860 -0.00698 0.02241 1
60215.238560 -0.00617 0.02248 1
60217.154900 -0.01022 0.02249 1
60221.218320 0.01615 0.02287 1
60223.196500 0.01847 0.02295 1
60226.217610 0.00088 0.02286 1
60228.162770 0.06957 0.02362 0
60231.159210 -0.02004 0.02279 1
60233.156270 -0.01095 0.02294 1
60235.139820 0.01529 0.02326 1
60237.167430 -0.03283 0.02283 1
60239.133390 0.01396 0.02336 1
60245.204720 0.01901 0.02359 1
60247.146430 0.02362 0.02369 1
60249.173910 0.00102 0.02351 1
60251.183980 -0.01374 0.02341 1
60253.143720 0.05296 0.02419 1
60255.144360 -0.02599 0.02339 1
60258.118900 0.00609 0.02381 1
60260.120530 0.04132 0.02426 1
60268.131900 -0.02057 0.02380 1
60285.141020 0.03109 0.02486 1
60288.161550 0.22381 0.02743 0
60290.155670 -0.02138 0.02439 1
60351.549010 -0.00880 0.02618 1
60351.549480 -0.03178 0.02586 1
60351.549960 0.00443 0.02637 1
60352.549600 0.04164 0.02693 1
60353.548250 -0.05944 0.02555 1
60353.548720 -0.03608 0.02586 1
60353.549190 -0.02837 0.02597 1
60354.553520 -0.04646 0.02581 1
60354.553980 0.00380 0.02646 1
60354.554450 0.00776 0.02651 1
60355.555540 0.02994 0.02683 1
60355.556010 0.00554 0.02651 1
60355.556490 0.10590 0.02790 0
60356.556890 -0.00219 0.02643 1
60356.557370 0.02120 0.02675 1
60356.557840 -0.02022 0.02620 1
60357.553170 -0.00075 0.02648 1
60357.553650 -0.02680 0.02614 1
60357.554110 -0.00236 0.02646 1
60403.518120 0.04548 0.02850 1
60407.487030 0.00038 0.02796 1
60422.406860 0.04772 0.02915 1
60428.465390 -0.00039 0.02861 1
60430.456090 0.04267 0.02934 1
60433.447650 -0.00194 0.02875 1
60443.384640 -0.05006 0.02836 1
60446.455360 -0.01386 0.02901 1
60449.383660 0.00148 0.02936 1
60451.384170 -0.00777 0.02928 1
60455.390750 0.00490 0.02962 1
60458.387530 -0.00016 0.02965 1
60460.391170 -0.01313 0.02952 1
60463.410020 -0.00507 0.02976 1
60469.404960 0.01738 0.03035 1
60471.372230 -0.00494 0.03006 1
60473.403670 0.02616 0.03065 1
60476.458540 0.00283 0.03038 1
60479.364940 -0.00012 0.03044 1
60482.362000 -0.02548 0.03014 1
60484.348290 -0.00605 0.03054 1
60487.411900 0.03777 0.03142 1
60489.365120 -0.03069 0.03033 1
60491.417670 -0.01408 0.03068 1
60500.383190 0.02028 0.03165 1
60503.384700 -0.02225 0.03103 1
60505.383970 0.04818 0.03236 1
60508.323220 -0.02429 0.03119 1
60510.358200 -0.01884 0.03137 1
60515.408210 0.03955 0.03264 1
60518.301890 0.01292 0.03227 1
60520.364890 0.00643 0.03224 1
60522.285870 0.04199 0.03298 1
60525.280580 -0.04109 0.03159 1
60527.261420 -0.02886 0.03189 1
60529.291560 0.04425 0.03333 1
60531.279140 -0.02025 0.03221 1
60535.296030 0.00671 0.03288 1
60537.303230 0.01091 0.03304 1
60539.307440 -0.12003 0.03077 0
60543.296210 0.00636 0.03320 1
60545.261570 0.02702 0.03368 1
60547.417860 0.00731 0.03339 1
60549.355890 -0.02466 0.03285 1
60551.253760 -0.04589 0.03253 1
60553.370580 0.04212 0.03431 1
60556.243410 0.01414 0.03387 1
60558.302890 -0.02768 0.03313 1
60562.336800 -0.01896 0.03345 1
60566.209960 -0.03139 0.03334 1
60569.193710 -0.05731 0.03295 1
60572.193460 0.03976 0.03496 1
60579.238330 0.04709 0.03534 1
60593.192700 -0.03677 0.03397 1
60595.203080 0.00057 0.03476 1
60597.145160 -0.01879 0.03440 1
60599.329470 -0.02455 0.03431 1
60604.186540 0.01608 0.03520 1
60606.152280 0.00945 0.03507 1
60608.166680 -0.03028 0.03428 1
60610.166090 0.06215 0.03621 1
