# MJD Detrended_Magnitude Magnitude_Error Outlier_Flag
59673.495100 -0.04208 0.01269 1
59676.488760 -0.02162 0.01270 1
59678.476150 -0.00667 0.01271 1
59683.428660 0.00694 0.01273 1
59689.448870 -0.00255 0.01274 1
59694.475980 0.04295 0.01277 1
59700.431030 0.01700 0.01278 1
59708.365980 0.01230 0.01280 1
59708.464740 0.02421 0.01281 1
59711.465630 0.03454 0.01283 1
59714.432080 -0.01382 0.01282 1
59718.405860 0.01724 0.01285 1
59718.444040 0.00219 0.01284 1
59721.412770 -0.01299 0.01285 1
59721.452330 0.01678 0.01286 1
59723.451030 0.00176 0.01286 1
59725.427480 0.00548 0.01287 1
59727.403400 -0.02437 0.01287 1
59731.430270 -0.01067 0.01289 1
59735.408220 0.03795 0.01294 1
59737.448900 0.03196 0.01295 1
59739.436340 0.01409 0.01295 1
59741.384050 -0.00301 0.01295 1
59744.383720 -0.00367 0.01297 1
59748.365080 -0.00575 0.01299 1
59750.365590 -0.00827 0.01300 1
59755.364300 -0.01263 0.01303 1
59759.347030 0.00519 0.01307 1
59763.348740 -0.01155 0.01309 1
59772.353270 -0.02062 0.01315 1
59772.438520 -0.03920 0.01313 1
59774.325680 -0.02078 0.01316 1
59774.405040 -0.03944 0.01315 1
59776.364100 -0.00120 0.01320 1
59779.292350 -0.02578 0.01320 1
59779.383540 -0.00892 0.01322 1
59783.374570 -0.01635 0.01324 1
59785.309560 -0.03918 0.01324 1
59787.321320 -0.00149 0.01329 1
59789.343950 -0.00416 0.01331 1
59793.320060 -0.02344 0.01333 1
59798.346870 0.02803 0.01343 1
59800.416130 0.01919 0.01344 1
59805.303070 -0.00872 0.01346 1
59809.274600 0.01984 0.01354 1
59811.354820 0.03152 0.01358 1
59813.259590 -0.00454 0.01355 1
59815.290480 0.00495 0.01359 1
59817.237680 0.01709 0.01363 1
59819.250800 0.00265 0.01363 1
59821.237710 -0.00193 0.01365 1
59823.277130 -0.02186 0.01365 1
59825.339900 -0.00610 0.01369 1
59829.174360 -0.01441 0.01373 1
59843.173010 0.00299 0.01394 1
59847.176890 -0.00058 0.01399 1
59849.151570 -0.00266 0.01401 1
59851.158330 0.00940 0.01406 1
59853.247290 0.00677 0.01408 1
59855.280920 0.00660 0.01411 1
59857.193060 -0.00557 0.01412 1
59859.228150 0.02129 0.01420 1
