oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
641216100035134,zr,59022.43748,21.72762,0.22905946,0.08140964,21.151,0.081
641216100035134,zr,59022.43842,21.663969,0.22467494,0.086430475,21.151,0.081
641216100035134,zr,59022.44075,21.281462,0.19832659,0.08744113,21.151,0.081
641216100035134,zr,59022.44122,21.146942,0.18906045,0.08511656,21.151,0.081
641216100035134,zr,59022.44497,21.601109,0.2203449,0.08236066,21.151,0.081
641216100035134,zr,59022.44543,21.426823,0.20833957,0.088586,21.151,0.081
641216100035134,zr,59022.44637,21.432472,0.20872867,0.09119853,21.151,0.081
641216100035134,zr,59022.44684,21.147001,0.1890645,0.08691194,21.151,0.081
641216100035134,zr,59022.44824,21.563702,0.21776819,0.088465996,21.151,0.081
641216100035134,zr,59022.44871,21.563082,0.21772552,0.087197475,21.151,0.081
641216100035134,zr,59022.45012,21.634983,0.2226783,0.08529878,21.151,0.081
641216100035134,zr,59022.45058,21.437252,0.20905793,0.081431895,21.151,0.081
641216100035134,zr,59022.45106,21.394432,0.20610833,0.08260269,21.151,0.081
641216100035134,zr,59022.45198,21.59778,0.22011566,0.08899886,21.151,0.081
641216100035134,zr,59022.45339,21.576166,0.21862686,0.09098221,21.151,0.081
641216100035134,zr,59022.45479,21.672022,0.22522974,0.08968298,21.151,0.081
641216100035134,zr,59022.45527,21.14602,0.18899703,0.085600674,21.151,0.081
641216100035134,zr,59022.4562,21.626846,0.22211778,0.090684764,21.151,0.081
641216100035134,zr,59022.45761,21.459164,0.21056736,0.08888532,21.151,0.081
641216100035134,zr,59022.45807,21.367651,0.20426357,0.08620884,21.151,0.081
641216100035134,zr,59022.45855,21.757242,0.23109996,0.08413558,21.151,0.081
641216100035134,zr,59022.45995,21.323187,0.20120072,0.088214524,21.151,0.081
641216100035134,zr,59022.46041,21.340515,0.20239437,0.09182701,21.151,0.081
641216100035134,zr,59022.46087,21.536798,0.21591508,0.08897531,21.151,0.081
641216100035134,zr,59022.46135,21.211037,0.19347548,0.0853238,21.151,0.081
