time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
3533.3990383680793,-162.8533935546875,3.622037649154663,1337.0105387622589,1370.0081231816416,0,0
3533.4013531874107,-166.8209228515625,3.629628896713257,1337.015139990261,1370.0080671698377,1,0
3533.403668006975,-168.9683837890625,3.618488073348999,1337.0131622938648,1370.0087322210532,2,0
3533.405982826306,-165.7562255859375,3.6223812103271484,1337.0111505012057,1370.008869534303,3,0
3533.4082976456375,-178.896728515625,3.6087119579315186,1337.0124257272903,1370.0065431945936,4,0
3533.410612464969,-171.3507080078125,3.6149590015411377,1337.011204042011,1370.0087347314575,5,0
3533.4129272845357,-175.794189453125,3.6109554767608643,1337.0172403695553,1370.0083069259897,6,0
3533.415242103866,-173.189697265625,3.6112406253814697,1337.0145873077058,1370.0094062848761,7,0
3533.4175569229646,-167.71728515625,3.618795871734619,1337.0141875175793,1370.0066252931526,8,0
3533.419871742297,-172.68359375,3.6199822425842285,1337.0135894360117,1370.0105231117157,9,0
3533.422186561628,-174.3067626953125,3.6155900955200195,1337.014295199792,1370.0094938554166,10,0
3533.4245013809586,-174.5445556640625,3.6106300354003906,1337.0143108530624,1370.0049033154194,11,0
3533.426816200291,-169.5433349609375,3.6181962490081787,1337.01486882523,1370.0070326112068,12,0
3533.4291310193894,-173.5999755859375,3.6128389835357666,1337.0138182316875,1370.0059484726394,13,0
3533.4314458387207,-171.275634765625,3.6162092685699463,1337.0129155698864,1370.009400161207,14,0
3533.43376065782,-176.2681884765625,3.622755289077759,1337.0137290967928,1370.0070965557434,15,0
3533.4360754769177,-172.2896728515625,3.613185405731201,1337.0156591310026,1370.0094287609977,16,0
3533.4383902962504,-174.35546875,3.614999294281006,1337.0129633588779,1370.0066249170777,17,0
3533.4407051153494,-177.7410888671875,3.619570732116699,1337.015962108868,1370.0064722475074,18,0
3533.443019934449,-163.2364501953125,3.623148202896118,1337.0141142209043,1370.0088525200601,19,0
3533.4453347535464,-174.79443359375,3.611351251602173,1337.0142001607553,1370.0104331819518,20,0
3533.447649572646,-167.248046875,3.6183674335479736,1337.0182470265875,1370.0088791642725,21,0
3533.4499643917443,-172.4700927734375,3.630584955215454,1337.014163578573,1370.0098473873877,22,0
3533.452279210843,-171.5609130859375,3.6153337955474854,1337.0185618596634,1370.0043237789198,23,0
3533.4545940297085,-171.473388671875,3.615515947341919,1337.0118261087578,1370.0075965160631,24,0
3533.456908848808,-164.0640869140625,3.622885227203369,1337.0119151419972,1370.0082035601383,25,0
3533.4592236679055,-171.1708984375,3.620971441268921,1337.0157057127387,1370.008330325106,26,0
3533.461538486771,-177.7396240234375,3.611185073852539,1337.0144540386339,1370.0065561396138,27,0
3533.4638533056377,-172.0802001953125,3.6140224933624268,1337.010692080025,1370.0070922117343,28,0
3533.466168124736,-169.8514404296875,3.6213479042053223,1337.0145987596,1370.0058893539442,29,0
3533.4684829436037,-161.1787109375,3.6268107891082764,1337.013764817876,1370.0082783088208,30,0
3533.4707977624685,-168.5430908203125,3.616577625274658,1337.0139041882983,1370.0065159712613,31,0
3533.473112581334,-174.4903564453125,3.6128034591674805,1337.016252585094,1370.0093712892767,32,0
3533.4754274002007,-169.195556640625,3.6253364086151123,1337.0159100032954,1370.0093396166058,33,0
3533.4777422190664,-173.32470703125,3.6204543113708496,1337.014894777397,1370.0083987999633,34,0
3533.4800570379325,-173.042724609375,3.612929582595825,1337.011359737463,1370.0070664659168,35,0
3533.4823718567977,-166.6571044921875,3.6219828128814697,1337.0129287283416,1370.007626420514,36,0
3533.4846866756634,-175.1226806640625,3.616567373275757,1337.0113471261618,1370.007074504055,37,0
3533.4870014945295,-172.39501953125,3.617197275161743,1337.01543774885,1370.0054072268135,38,0
3533.489316313163,-171.87548828125,3.61342716217041,1337.0130319144105,1370.0077160817377,39,0
3533.4916311320276,-167.3065185546875,3.6195883750915527,1337.0156047640357,1370.0081641469815,40,0
3533.4939459506622,-170.8006591796875,3.6143364906311035,1337.016201730638,1370.0065259838057,41,0
3533.496260769529,-172.075439453125,3.611921787261963,1337.0162107616097,1370.0060959232017,42,0
3533.4985755881617,-167.3272705078125,3.6206374168395996,1337.0141635094428,1370.006530595249,43,0
3533.5008904067945,-174.669921875,3.6125669479370117,1337.013437776612,1370.0093567391646,44,0
3533.5032052254273,-172.3238525390625,3.623255968093872,1337.0182897909424,1370.0099531892172,45,0
3533.50552004406,-175.724365234375,3.611555814743042,1337.0160295400112,1370.0076532573041,46,0
3533.507834862693,-173.600341796875,3.617511034011841,1337.015298114033,1370.0082328116405,47,0
3533.5101496813268,-172.419189453125,3.6197562217712402,1337.0166138067302,1370.0089153431275,48,0
3533.5124644999596,-173.6055908203125,3.6128320693969727,1337.0156491124044,1370.0093687008102,49,0
3533.5147793185924,-160.148193359375,3.6252546310424805,1337.0123777102535,1370.0082596826574,50,0
3533.5170941369925,-169.19873046875,3.6184470653533936,1337.015095987046,1370.0098877433238,51,0
3533.5194089556253,-173.959716796875,3.610496997833252,1337.014724572555,1370.007188473862,52,0
3533.521723774026,-169.46337890625,3.6209006309509277,1337.0153125001652,1370.0083897099692,53,0
3533.5240385926595,-169.68017578125,3.6167657375335693,1337.0130363361598,1370.0099851191758,54,0
3533.5263534110595,-175.385986328125,3.6110341548919678,1337.0156255695392,1370.0077428249901,55,0
3533.528668229693,-173.1612548828125,3.6129913330078125,1337.013646035668,1370.0082837394414,56,0
3533.530983048093,-178.775146484375,3.6190876960754395,1337.0140986230535,1370.0099619095563,57,0
