time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
1683.3690185546875,1628.960693359375,1.5487006902694702,1068.0006292505511,1824.99273355934,0,0
1683.3898315429688,1628.724609375,1.5484164953231812,1068.0022709928985,1824.99296966156,1,0
1683.4107055664062,1629.3673095703125,1.5467685461044312,1068.0020670202236,1824.9932163235871,2,0
1683.4315185546875,1627.93896484375,1.548026204109192,1068.0010883823697,1824.9929627631846,3,0
1683.4523315429688,1627.4305419921875,1.5472477674484253,1068.0019068159095,1824.9944358314424,4,0
1683.4732055664062,1630.0223388671875,1.5483953952789307,1068.001682206953,1824.994201486871,5,0
1683.4940185546875,1628.941650390625,1.5469719171524048,1068.0008472069328,1824.993599668847,6,0
1683.5148315429688,1630.2900390625,1.5490309000015259,1068.0011164638613,1824.9935204924834,7,0
1683.5357055664062,1629.5482177734375,1.5516433715820312,1068.000722334101,1824.9932102879268,8,0
1683.5565185546875,1629.908203125,1.5518475770950317,1068.0015813395808,1824.9934298132564,9,0
1683.5773315429688,1628.87255859375,1.5475106239318848,1068.0014368177879,1824.9942949490712,10,0
1683.5982055664062,1629.0506591796875,1.5515073537826538,1068.0014156418836,1824.9939519094642,11,0
1683.6190185546875,1627.0391845703125,1.5477386713027954,1068.0012539571549,1824.9931941062541,12,0
1683.6398315429688,1629.8739013671875,1.5518629550933838,1068.0010384549735,1824.9936455333377,13,0
1683.6607055664062,1631.92431640625,1.549133062362671,1068.002184183771,1824.9944512468055,14,0
1683.6815185546875,1628.5994873046875,1.5486948490142822,1068.0012025646017,1824.993173409006,15,0
1683.7023315429688,1629.49169921875,1.549546718597412,1068.0010392978513,1824.9932821563084,16,0
1683.7232055664062,1627.7398681640625,1.5505839586257935,1068.0015968512375,1824.9935157968705,17,0
1683.7440185546875,1629.630615234375,1.5483157634735107,1068.0010903892858,1824.9943234082655,18,0
1683.7648315429688,1627.735595703125,1.5494498014450073,1068.0005164176744,1824.993899505115,19,0
1683.7857055664062,1629.3529052734375,1.5496302843093872,1068.0019198310356,1824.9940022722337,20,0
1683.8065185546875,1630.205078125,1.5478501319885254,1068.0012585045347,1824.993467785354,21,0
1683.8273315429688,1626.8427734375,1.5494823455810547,1068.0004895290017,1824.9934478223913,22,0
1683.8482055664062,1629.8836669921875,1.5485270023345947,1068.0012756977285,1824.9940493777453,23,0
1683.8690185546875,1626.192138671875,1.5466471910476685,1068.001522095494,1824.994950857116,24,0
1683.8898315429688,1630.092529296875,1.551157832145691,1068.0020563374185,1824.9931519446495,25,0
1683.9107055664062,1628.1522216796875,1.550552487373352,1068.0018584367178,1824.9925344169735,26,0
1683.9315795898438,1628.2757568359375,1.546927809715271,1068.0018689881838,1824.9940434921791,27,0
1683.952392578125,1628.052001953125,1.548857569694519,1068.0007416584326,1824.9929198855934,28,0
1683.9732055664062,1631.1876220703125,1.54777991771698,1068.001284284922,1824.9935430286523,29,0
1683.9940795898438,1628.98193359375,1.5476220846176147,1068.001998867334,1824.9943228994157,30,0
1684.014892578125,1628.94677734375,1.5492186546325684,1068.0014687977637,1824.9940061630662,31,0
1684.0357055664062,1630.1988525390625,1.5480899810791016,1068.0017353210944,1824.9926641602374,32,0
1684.0565795898438,1629.4229736328125,1.5485892295837402,1068.0016101850335,1824.9946076476938,33,0
1684.077392578125,1629.9560546875,1.5477790832519531,1068.0012779346343,1824.9943735208874,34,0
1684.0982055664062,1633.114990234375,1.5478413105010986,1068.0012150672146,1824.9931823803126,35,0
1684.1190795898438,1639.07421875,1.549077033996582,1068.0011149489815,1824.9944195577427,36,0
1684.139892578125,1654.766357421875,1.5531141757965088,1068.001312726996,1824.9937628016723,37,0
1684.1607055664062,1673.792724609375,1.5593650341033936,1068.0010268230585,1824.994315916833,38,0
1684.1815795898438,1698.56494140625,1.5648037195205688,1068.0020336219166,1824.9944466958696,39,0
1684.202392578125,1727.5218505859375,1.5715594291687012,1068.002719960678,1824.99505625904,40,0
1684.2232055664062,1764.417724609375,1.5813779830932617,1068.0023648723443,1824.9943599260002,41,0
1684.2440795898438,1806.4403076171875,1.5915241241455078,1068.0014188735386,1824.9945304492883,42,0
1684.264892578125,1855.095947265625,1.6031380891799927,1068.0013535120806,1824.9946032577861,43,0
1684.2857055664062,1908.4398193359375,1.6121903657913208,1068.0017523974605,1824.9952912058823,44,0
1684.3065795898438,1958.1201171875,1.6271828413009644,1068.0011039656704,1824.9954456945113,45,0
1684.327392578125,2004.0260009765625,1.6393251419067383,1068.0020422527748,1824.9951283217054,46,0
1684.3482055664062,2054.64111328125,1.6470470428466797,1068.001972121519,1824.9957290281625,47,0
1684.3690795898438,2101.023193359375,1.6606463193893433,1068.0013847652122,1824.9952766253562,48,0
1684.389892578125,2155.16455078125,1.6729899644851685,1068.0018882141644,1824.9959634840523,49,0
1684.4107055664062,2208.2646484375,1.6814936399459839,1068.001595575404,1824.9961062482007,50,0
1684.4315795898438,2257.7197265625,1.6972509622573853,1068.0019575104188,1824.9958351378516,51,0
1684.452392578125,2309.590576171875,1.7068482637405396,1068.0014621039795,1824.996559966757,52,0
1684.4732055664062,2360.2294921875,1.716403841972351,1068.0018343677268,1824.9952228277734,53,0
1684.4940795898438,2412.9609375,1.727588176727295,1068.0014746818126,1824.995847910677,54,0
1684.514892578125,2470.0673828125,1.740234375,1068.0012373984373,1824.9962488371514,55,0
1684.5357055664062,2533.822998046875,1.7520538568496704,1068.0012877414633,1824.996825070947,56,0
1684.5565795898438,2600.61669921875,1.768019199371338,1068.000672659148,1824.9964627718448,57,0
1684.577392578125,2662.183837890625,1.7795060873031616,1068.0010130975793,1824.9969137189394,58,0
1684.5982055664062,2726.66357421875,1.7964308261871338,1068.0018620481833,1824.9957325073192,59,0
1684.6190795898438,2785.883544921875,1.806715726852417,1068.001696096803,1824.9968499635308,60,0
1684.639892578125,2826.696044921875,1.8198682069778442,1068.0017798832578,1824.9966746405967,61,0
1684.6607055664062,2861.507568359375,1.82304048538208,1068.0018142206952,1824.9961820440442,62,0
1684.6815795898438,2881.859619140625,1.8274340629577637,1068.002396456078,1824.996163429528,63,0
1684.702392578125,2897.234619140625,1.8278837203979492,1068.0016466149657,1824.9967261514275,64,0
1684.7232055664062,2920.787841796875,1.8340520858764648,1068.0017815264152,1824.9974675570716,65,0
